红莲	1室1厅1卫 	 40 	 精装修 	 10	 南向 	2800
百子湾	3室2厅2卫 	 140 	 精装修 	 5	 南北向 	7000
万柳	1室1厅1卫 	 60 	None	 9	 东南向 	4500
立水桥	1室1厅1卫 	 55 	 精装修 	 7	 东向 	3300
天通苑	2室2厅 	 88 	None	 19	 西向 	4600
立水桥	1室1厅 	 40 	None	 4	 东向 	3500
回龙观	1室 	 25 	None	 2	 东西向 	450
西北旺	1室 	 20 	None	 2	 东向 	700
望京	1室 	 20 	None	 2	 南向 	800
角门	2室 	 52 	None	 1	 西向 	2700
花家地	1室 	 50 	None	 6	 南向 	3000
五道口	1室 	 40 	None	 2	 东向 	800
回龙观	1室 	 28 	None	 4	 南向 	700
苹果园	1室1卫 	 30 	 精装修 	 1	 南向 	1600
玉泉营	2室 	 62 	None	 1	 南向 	3400
沙河镇	1室1厅1卫 	 20 	 中等装修 	 2	 南向 	580
黄村	1室 	 26 	None	 2	 南向 	1380
方庄	1室 	 23 	None	 1	 南北向 	1500
双桥	1室 	 8 	None	 -1	 南北向 	350
来广营	1室 	 32 	None	 4	 南向 	2000
望京	1室 	 20 	None	 2	 南向 	800
古城	1室 	 35 	None	 1	 南向 	1500
回龙观	1室 	 30 	None	 2	 南北向 	700
北苑	2室1厅1卫 	 76 	 中等装修 	 2	 南北向 	3400
望京	2室1厅1卫 	 70 	 精装修 	 16	 东南向 	3800
梨园	2室 	 12 	None	 15	 南向 	400
北苑	1室1厅1卫 	 50 	 精装修 	 6	 南向 	3000
回龙观	3室 	 88 	None	 8	 东西向 	5000
德胜门	2室1厅1卫 	 60 	 精装修 	 6	 南北向 	4900
安定门	2室1厅1卫 	 85 	 精装修 	 7	 南向 	4900
北七家	1室1厅1卫 	 60 	 精装修 	 1	 南北向 	2000
北苑	2室1厅1卫 	 85 	 中等装修 	 3	 南北向 	2400
北苑	2室1厅1卫 	 71 	 中等装修 	 3	 南北向 	2200
天通苑	3室 	 10 	None	 20	 南向 	600
和平里	3室 	 24 	None	 1	 西向 	2000
北七家	3室2厅1卫 	 105 	 简单装修 	 3	 南北向 	2200
北七家	2室2厅1卫 	 105 	 精装修 	 3	 南北向 	2000
北七家	2室2厅1卫 	 72 	 精装修 	 3	 南北向 	2200
草桥	4室2厅3卫 	 180 	None	 18	 南北向 	9000
草桥	3室2厅2卫 	 126 	None	 11	 东北向 	6500
劲松	2室 	 68 	None	 10	 东向 	4200
梨园	2室 	 13 	None	 7	 南向 	400
甘露园	1室1厅1卫 	 55 	 精装修 	 4	 南向 	3000
云岗	2室 	 10 	None	 3	 北向 	750
洋桥	3室2厅2卫 	 138 	None	 8	 东南向 	7000
望京	2室1厅1卫 	 75 	 精装修 	 20	 南向 	4400
花家地	3室1厅1卫 	 100 	 精装修 	 2	 南北向 	5400
望京	1室1厅1卫 	 65 	 精装修 	 6	 南向 	2800
大红门	2室1厅1卫 	 66 	 中等装修 	 7	 西南向 	4200
牡丹园	3室 	 136 	None	 21	 南北向 	1000
北关环岛	2室 	 100 	None	 11	 南向 	3000
天通苑	3室 	 15 	None	 6	 南向 	900
梨园	2室 	 16 	None	 2	 南向 	700
中关村	1室 	 52 	None	 12	 西向 	5500
大红门	2室1厅1卫 	 58 	 简单装修 	 2	 南北向 	3800
百善	1室 	 20 	None	 1	 南向 	450
天通苑	3室 	 12 	None	 5	 南向 	550
大红门	2室1厅1卫 	 75 	 简单装修 	 6	 东南向 	4000
大红门	2室1厅1卫 	 65 	 精装修 	 4	 南北向 	3200
大红门	2室1厅1卫 	 70 	 简单装修 	 4	 南北向 	4000
双桥	1室1厅1卫 	 20 	 精装修 	 1	 南向 	800
红莲	1室1厅1卫 	 40 	 精装修 	 10	 南向 	2800
百子湾	3室2厅2卫 	 140 	 精装修 	 5	 南北向 	7000
万柳	1室1厅1卫 	 60 	None	 9	 东南向 	4500
立水桥	1室1厅1卫 	 55 	 精装修 	 7	 东向 	3300
天通苑	3室 	 12 	None	 5	 南向 	550
梨园	2室 	 13 	None	 16	 南向 	400
天通苑	3室 	 16 	None	 9	 南向 	1050
洋桥	3室2厅2卫 	 138 	None	 8	 东南向 	7000
定福庄	2室2厅1卫 	 98 	 豪华装修 	 4	 南北向 	4000
马坡	2室1厅1卫 	 90 	 精装修 	 1	 南北向 	2000
马坡	2室1厅1卫 	 89 	 精装修 	 1	 南北向 	1700
五道口	3室 	 10 	None	 3	 北向 	1050
北苑	2室 	 68 	None	 4	 南向 	2800
安宁庄	1室 	 19 	None	 1	 南向 	1300
望京	2室1厅1卫 	 75 	 精装修 	 20	 南向 	4400
花家地	3室1厅1卫 	 100 	 精装修 	 2	 南北向 	5400
回龙观	1室 	 30 	None	 2	 南北向 	650
六里桥	3室 	 220 	None	 9	 东向 	14000
光明	3室 	 116 	None	 3	 南北向 	2900
望京	1室1厅1卫 	 65 	 精装修 	 6	 南向 	2800
天通苑	3室 	 35 	None	 8	 南向 	1250
西红门	3室 	 25 	None	 2	 南向 	1250
航天桥	3室 	 10 	None	 1	 北向 	1400
大红门	2室1厅1卫 	 66 	 中等装修 	 7	 西南向 	4200
望京	3室1厅1卫 	 12 	 精装修 	 5	 南向 	1560
安贞	3室 	 18 	None	 3	 南向 	1750
崇文门	3室1厅1卫 	 120 	None	 精装修 	 南北向 	6000
良乡	2室1厅1卫 	 86 	 中等装修 	 6	 南北向 	2200
大红门	2室1厅1卫 	 58 	 简单装修 	 2	 南北向 	3800
广安门	1室1厅1卫 	 55 	 精装修 	 20	 南向 	3600
双桥	2室1厅1卫 	 90 	None	 3	 南北向 	4000
清河	2室 	 15 	None	 6	 北向 	1500
双桥	1室1厅1卫 	 61 	None	 5	 南向 	2800
大红门	2室1厅1卫 	 75 	 简单装修 	 6	 东南向 	4000
大红门	2室1厅1卫 	 65 	 精装修 	 4	 南北向 	3200
北苑	1室1厅1卫 	 60 	 精装修 	 6	 南向 	2400
红莲	1室1厅1卫 	 40 	 精装修 	 10	 南向 	2800
百子湾	3室2厅2卫 	 140 	 精装修 	 5	 南北向 	7000
万柳	1室1厅1卫 	 60 	None	 9	 东南向 	4500
立水桥	1室1厅1卫 	 55 	 精装修 	 7	 东向 	3300
清河	2室 	 15 	None	 6	 北向 	1500
北苑	2室 	 97 	None	 10	 东南向 	4700
天通苑	3室 	 10 	None	 12	 东西向 	500
常营	2室 	 68 	None	 3	 北向 	3600
中关村	1室 	 85 	None	 20	 南向 	7000
三元桥	3室 	 68 	None	 2	 南北向 	5100
百子湾	1室 	 73 	None	 2	 南北向 	4800
天通苑	3室 	 14 	None	 6	 东向 	900
五道口	3室 	 20 	None	 2	 南向 	2050
马驹桥	2室 	 16 	None	 4	 南向 	550
西直门	2室 	 6 	None	 6	 东南向 	650
燕郊	2室 	 85 	None	 16	 南北向 	2000
苏州街	2室 	 16 	None	 5	 南向 	2350
天通苑	3室 	 13 	None	 11	 东向 	850
燕郊	2室 	 86 	None	 17	 北向 	500
天通苑	3室 	 30 	None	 6	 南向 	1700
大望路	2室 	 120 	None	 20	 南北向 	8200
来广营	1室 	 25 	None	 2	 南向 	1500
国贸	2室 	 105 	None	 18	 东北向 	9300
西直门	3室 	 17 	None	 10	 南向 	1400
和义	1室 	 52 	None	 4	 南北向 	2400
北苑	1室 	 50 	None	 6	 南向 	3000
天通苑	3室 	 10 	None	 15	 南向 	600
北苑	1室 	 48 	None	 5	 南向 	1800
四惠	4室 	 16 	None	 1	 北向 	1500
昌平	1室 	 36 	None	 2	 南向 	1300
国贸	2室 	 110 	None	 12	 东南向 	9500
昌平县城	2室 	 70 	None	 2	 南北向 	1700
梨园	1室 	 51 	None	 5	 南向 	1600
天通苑	2室 	 100 	None	 3	 南向 	3600
广安门	1室 	 25 	None	 19	 东向 	1800
四季青	2室 	 100 	None	 4	 南北向 	7500
和义	1室 	 45 	None	 2	 南北向 	2200
天通苑	1室 	 10 	None	 10	 西向 	800
四季青	4室 	 8 	None	 7	 南北向 	599
百子湾	2室 	 105 	None	 12	 南北向 	5200
百子湾	1室 	 65 	None	 8	 南向 	4200
望京	3室 	 152 	None	 5	 东西向 	15000
世界公园	3室 	 20 	None	 3	 南向 	600
昌平	2室 	 86 	None	 3	 南北向 	1800
四季青	4室 	 10 	None	 8	 南北向 	600
国贸	3室 	 173 	None	 10	 南向 	14000
四季青	3室 	 135 	None	 4	 南北向 	8500
和义	2室 	 72 	None	 2	 南北向 	2700
昌平	2室 	 86 	None	 6	 南北向 	2600
上地	1室 	 13 	None	 2	 南北向 	1080
四季青	1室 	 49 	None	 8	 北向 	4500
天坛	1室 	 9 	None	 1	 南向 	500
小营	2室 	 80 	None	 2	 南北向 	3900
红莲	1室1厅1卫 	 40 	 精装修 	 10	 南向 	2800
百子湾	3室2厅2卫 	 140 	 精装修 	 5	 南北向 	7000
万柳	1室1厅1卫 	 60 	None	 9	 东南向 	4500
立水桥	1室1厅1卫 	 55 	 精装修 	 7	 东向 	3300
甘露园	2室1厅1卫 	 65 	 精装修 	 3	 南向 	3300
武夷花园	2室1厅1卫 	 90 	 精装修 	 3	 南北向 	2500
回龙观	3室2厅2卫 	 127 	 精装修 	 3	 南向 	3700
玉泉营	1室1厅1卫 	 53 	 中等装修 	 1	 北向 	3700
五道口	4室 	 18 	None	 3	 南向 	2000
天通苑	3室 	 31 	None	 3	 南向 	1700
南苑	3室 	 78 	None	 2	 南北向 	3500
百子湾	1室1厅1卫 	 56 	 精装修 	 13	 南向 	3900
大红门	2室1厅1卫 	 75 	 简单装修 	 6	 东南向 	4000
大红门	2室1厅1卫 	 65 	 精装修 	 4	 南北向 	3200
北苑	1室1厅1卫 	 60 	 精装修 	 6	 南向 	2400
天通苑	3室 	 38 	None	 9	 南向 	1400
甘露园	1室1厅1卫 	 55 	 精装修 	 4	 南向 	3000
团结湖	2室1厅1卫 	 65 	 精装修 	 3	 南北向 	4600
团结湖	1室1厅1卫 	 50 	 精装修 	 11	 南向 	4100
大钟寺	3室 	 20 	None	 4	 南向 	2000
八里庄	1室1厅1卫 	 55 	 精装修 	 4	 西向 	3000
大红门	2室1厅1卫 	 70 	 简单装修 	 4	 南北向 	4000
苏州街	3室 	 20 	None	 8	 南向 	2050
杨庄	2室1厅1卫 	 88 	None	 5	 东西向 	3500
天坛	3室 	 8 	None	 5	 南向 	700
国贸	2室1厅1卫 	 65 	 精装修 	 3	 南北向 	4500
国贸	2室1厅1卫 	 65 	 精装修 	 3	 南北向 	4200
四惠	3室1厅2卫 	 110 	 精装修 	 8	 南北向 	5600
双桥	1室1厅1卫 	 20 	 精装修 	 1	 南向 	800
双桥	1室1厅1卫 	 20 	 中等装修 	 2	 南向 	750
双桥	1室1厅1卫 	 20 	 中等装修 	 2	 南向 	650
双桥	1室1厅1卫 	 20 	 中等装修 	 2	 南向 	650
双桥	1室1厅1卫 	 20 	 精装修 	 2	 南向 	700
酒仙桥	2室 	 66 	None	 4	 南向 	3100
天通苑	3室 	 13 	None	 6	 北向 	850
双桥	1室1厅1卫 	 20 	 中等装修 	 2	 南向 	700
双桥	1室1厅1卫 	 20 	 精装修 	 2	 南向 	650
奥运村	3室2厅2卫 	 148 	 精装修 	 10	 南北向 	9000
和平街	3室 	 12 	None	 3	 南向 	2100
马家堡	2室 	 70 	None	 8	 东向 	4000
天通苑	3室 	 15 	None	 5	 西向 	850
西坝河	2室1厅1卫 	 65 	 精装修 	 13	 南北向 	4000
燕郊	2室1厅1卫 	 83 	 精装修 	 15	 南北向 	1500
燕郊	2室2厅1卫 	 90 	 精装修 	 15	 南北向 	1800
潘家园	2室1厅1卫 	 109 	None	 5	 东向 	6500
十里堡	1室 	 50 	None	 4	 北向 	2700
土桥	3室 	 87 	None	 13	 南北向 	2300
海淀	5室2厅2卫 	 286 	None	 2	 南北向 	40000
红莲	1室1厅1卫 	 40 	 精装修 	 10	 南向 	2800
昌平县城	3室1厅1卫 	 90 	 精装修 	 6	 南北向 	2500
百子湾	1室1厅1卫 	 56 	 精装修 	 4	 北向 	4300
亚运村	3室2厅2卫 	 12 	 精装修 	 9	 南向 	760
上地	2室 	 23 	None	 6	 南向 	2000
定福庄	2室 	 16 	None	 4	 南向 	1200
天通苑	2室 	 12 	None	 3	 南北向 	400
